# x_m,y_m,w_tr_right_m,w_tr_left_m
-4.4,5.99,0.5701,0.5701
-4.15,5.94,0.7211,0.85
-3.95,5.74,0.8246,0.8246
-3.8,5.49,1.05,0.9513
-3.7,5.24,1.0794,1.0794
-3.65,4.99,1.05,1.1
-3.6,4.74,1.1543,1.1543
-3.55,4.49,1.25,1.3
-3.6,4.24,1.2971,1.3
-3.6,3.99,1.2981,1.25
-3.65,3.74,1.3038,1.35
-3.9,3.59,1.3601,1.4
-4.15,3.64,1.3416,1.35
-4.4,3.64,1.25,1.35
-4.65,3.69,1.1281,1.1281
-4.9,3.74,1.0,1.05
-5.15,3.74,1.0794,1.0794
-5.4,3.79,1.1,1.0689
-5.65,3.79,1.15,1.2
-5.9,3.84,1.2,1.15
-6.15,3.89,1.2,1.2
-6.4,3.99,1.15,1.2
-6.65,4.09,1.1,1.25
-6.9,4.19,1.05,1.092
-7.15,4.24,1.1,1.15
-7.4,4.39,1.05,1.15
-7.65,4.49,1.0,1.1
-7.9,4.59,1.0,1.05
-8.15,4.69,1.05,1.0296
-8.4,4.79,1.0,1.05
-8.65,4.89,1.0,1.05
-8.9,4.99,1.0,1.05
-9.15,5.04,0.95,1.05
-9.4,5.09,0.95,0.95
-9.65,5.14,0.95,0.95
-9.9,5.14,1.0,0.9
-10.15,5.19,1.0,0.9
-10.4,5.19,1.0,0.95
-10.65,5.19,1.05,0.95
-10.9,5.24,1.05,1.0
-11.15,5.24,1.1,1.15
-11.4,5.24,1.1,1.15
-11.65,5.24,1.15,1.2
-11.9,5.29,1.15,1.3
-12.15,5.24,1.25,1.25
-12.4,5.29,1.25,1.2
-12.65,5.29,1.3,1.1
-12.9,5.29,1.15,1.1
-13.15,5.34,1.35,1.2
-13.4,5.34,1.4,1.25
-13.65,5.39,1.4,1.3865
-13.9,5.34,1.373,1.373
-14.15,5.14,1.2,1.1673
-14.25,4.89,1.15,1.1281
-14.3,4.64,1.15,1.1402
-14.35,4.39,1.15,1.1
-14.35,4.14,1.2,1.0595
-14.35,3.89,1.0,1.0
-14.35,3.64,0.95,1.0
-14.35,3.39,1.0,1.0012
-14.15,3.14,0.9862,0.95
-13.95,2.89,0.8,0.7906
-13.7,2.79,0.7,0.7433
-13.45,2.74,0.7,0.7433
-13.2,2.74,0.75,0.75
-12.95,2.69,0.75,0.65
-12.7,2.69,0.8,0.75
-12.45,2.69,0.9,0.7826
-12.2,2.64,0.85,0.9
-11.95,2.64,0.9124,0.9124
-11.7,2.69,1.0,0.95
-11.45,2.69,1.05,0.95
-11.2,2.69,1.1,1.0
-10.95,2.69,1.0,1.1
-10.7,2.69,1.2,1.15
-10.45,2.69,1.25,1.15
-10.2,2.64,1.3,1.25
-9.95,2.59,1.3,1.2
-9.7,2.39,1.1,1.1102
-9.45,2.34,1.1,1.25
-9.2,2.24,1.05,1.2
-8.95,2.14,1.0,1.15
-8.7,2.04,0.95,0.9487
-8.45,1.94,0.9,0.886
-8.2,1.89,0.9,0.95
-7.95,1.84,0.85,0.8732
-7.7,1.79,0.9,0.9
-7.45,1.74,0.9,0.85
-7.2,1.69,0.85,0.85
-6.95,1.64,0.85,0.85
-6.7,1.59,0.85,0.8
-6.45,1.54,0.8,0.8
-6.2,1.44,0.8,0.9
-5.95,1.39,0.8,0.85
-5.7,1.39,0.85,0.75
-5.45,1.34,0.75,0.7
-5.2,1.29,0.9,0.8
-4.95,1.19,0.95,0.85
-4.7,1.09,0.886,0.9
-4.45,0.94,0.95,0.95
-4.2,0.84,0.9,0.95
-3.95,0.79,0.9,1.0
-3.7,0.69,0.85,0.95
-3.45,0.64,0.8,0.95
-3.2,0.59,0.8,0.9
-2.95,0.54,0.8,0.85
-2.7,0.49,0.85,0.9
-2.45,0.49,0.85,0.8
-2.2,0.44,0.85,0.8
-1.95,0.39,0.85,0.8
-1.7,0.39,0.9,0.8
-1.45,0.34,0.9,0.8
-1.2,0.34,0.95,0.8
-0.95,0.29,0.85,0.8
-0.7,0.29,0.9,0.8
-0.45,0.29,0.9,0.8
-0.2,0.29,0.9,0.85
0.05,0.29,0.95,0.85
0.3,0.24,0.9,0.85
0.55,0.24,0.95,0.9
0.8,0.24,0.95,0.9
1.05,0.24,1.0,0.95
1.3,0.24,1.0,1.1
1.55,0.24,1.05,1.2
1.8,0.24,1.05,1.1
2.05,0.24,1.1,1.1045
2.3,0.29,1.15,1.2
2.55,0.29,1.2,1.2042
2.8,0.34,1.2981,1.2981
2.95,0.59,1.5,1.4705
3.1,0.84,1.4,1.3928
3.2,1.09,1.35,1.45
3.25,1.34,1.4,1.408
3.3,1.59,1.4,1.35
3.45,1.84,1.35,1.45
3.5,2.09,1.35,1.4
3.6,2.34,1.3,1.45
3.65,2.59,1.25,1.45
3.65,2.84,1.25,1.4
3.7,3.09,1.15,1.25
3.7,3.34,1.1,1.15
3.7,3.59,1.15,1.1
3.7,3.84,1.15,1.1
3.7,4.09,1.25,1.1597
3.7,4.34,1.35,1.2176
3.7,4.59,1.45,1.321
3.7,4.84,1.5,1.4577
3.75,5.09,1.5,1.5042
3.55,5.34,1.7103,1.7103
3.3,5.49,1.7,1.7
3.05,5.59,1.6919,1.6919
2.8,5.54,1.5788,1.5788
2.55,5.34,1.3509,1.3509
2.3,5.14,1.1543,1.1543
2.05,4.99,1.0595,1.0595
1.8,4.79,1.05,0.922
1.6,4.54,0.8,0.8062
1.55,4.29,0.8,0.8139
1.5,4.04,0.8,0.8
1.4,3.79,0.75,0.85
1.3,3.54,0.7,0.7159
1.2,3.29,0.65,0.8
1.15,3.04,0.7,0.75
1.1,2.79,0.7433,0.75
0.85,2.59,0.8732,0.95
0.6,2.49,0.8544,1.0
0.35,2.44,0.85,0.95
0.1,2.44,0.8732,0.8732
-0.15,2.39,0.95,0.9
-0.4,2.39,0.95,0.9
-0.65,2.44,1.0,1.05
-0.85,2.59,1.1597,1.1597
-0.95,2.84,1.251,1.25
-0.95,3.09,1.2021,1.25
-0.9,3.34,1.1,1.2
-0.9,3.59,1.05,1.2
-0.9,3.84,1.1,1.15
-0.9,4.09,1.2,1.1
-0.85,4.34,1.2,1.1
-0.85,4.59,1.25,1.05
-0.85,4.84,1.1,1.05
-0.8,5.09,1.1045,1.1
-0.8,5.34,1.1011,1.1011
-0.75,5.59,1.15,1.1
-0.7,5.84,1.2258,1.2258
-0.7,6.09,1.2855,1.25
-0.65,6.34,1.5,1.373
-0.65,6.59,1.55,1.4396
-0.6,6.84,1.6,1.5508
-0.8,7.09,1.456,1.456
-1.0,7.29,1.3,1.3124
-1.25,7.39,1.4,1.4
-1.5,7.54,1.2,1.2093
-1.75,7.64,1.2,1.1705
-2.0,7.74,1.1,1.25
-2.25,7.84,1.15,1.1236
-2.5,7.89,1.1,1.1
-2.75,7.99,1.1,1.1
-3.0,8.04,1.1,1.1
-3.25,8.14,1.15,1.15
-3.5,8.24,1.05,1.2
-3.75,8.29,1.1,1.1
-4.0,8.39,1.05,1.1
-4.25,8.44,1.05,1.05
-4.5,8.54,1.05,1.1
-4.75,8.64,1.0,1.1
-5.0,8.69,1.05,1.05
-5.25,8.79,1.05,1.15
-5.5,8.84,1.0,1.05
-5.75,8.94,1.05,1.1
-6.0,8.99,1.05,1.05
-6.25,9.04,1.05,1.0
-6.5,9.14,1.05,1.05
-6.75,9.24,1.15,1.15
-7.0,9.34,0.95,1.05
-7.25,9.39,0.95,1.0
-7.5,9.49,0.95,1.0
-7.75,9.54,1.0,1.05
-8.0,9.59,1.0,0.95
-8.25,9.69,0.95,1.0
-8.5,9.74,1.0,1.0
-8.75,9.79,0.95,1.0
-9.0,9.89,0.95,1.0
-9.25,9.94,1.0,1.0
-9.5,10.04,0.95,1.05
-9.75,10.09,1.0,1.05
-10.0,10.09,1.05,0.9
-10.25,10.14,0.9124,0.9
-10.5,10.19,0.922,0.9
-10.75,10.19,0.9014,0.9
-11.0,10.24,0.9962,0.9962
-11.25,10.29,1.2,1.1413
-11.5,10.29,1.25,1.2369
-11.75,10.34,1.25,1.25
-12.0,10.29,1.4,1.3647
-12.25,10.09,1.4221,1.4221
-12.3,9.84,1.3,1.35
-12.3,9.59,1.3,1.35
-12.3,9.34,1.4,1.3647
-12.3,9.09,1.4,1.35
-12.3,8.84,1.4142,1.4142
-12.15,8.59,1.3285,1.3285
-11.95,8.34,1.25,1.35
-11.8,8.14,1.05,1.1045
-11.55,8.09,1.1,1.1068
-11.3,7.99,1.0,1.05
-11.05,7.94,1.05,1.05
-10.8,7.84,1.0,1.05
-10.55,7.79,0.95,1.05
-10.3,7.74,0.95,1.05
-10.05,7.69,0.95,1.05
-9.8,7.64,0.95,1.0
-9.55,7.59,0.95,1.0
-9.3,7.54,0.9,0.95
-9.05,7.49,0.95,0.95
-8.8,7.39,0.85,1.0
-8.55,7.39,0.9,0.9
-8.3,7.24,0.85,0.95
-8.05,7.19,0.9,0.95
-7.8,7.14,0.95,0.95
-7.55,7.04,0.9,0.85
-7.3,6.94,0.9,0.9
-7.05,6.89,1.0,0.9
-6.8,6.79,1.0,0.9
-6.55,6.69,0.95,0.95
-6.3,6.59,0.9,0.95
-6.05,6.49,0.9,0.95
-5.8,6.44,0.95,0.9
-5.55,6.34,0.9,0.9
-5.3,6.29,0.95,0.9
-5.05,6.19,0.7159,0.7159
-4.8,6.14,0.6021,0.6021
-4.55,6.04,0.5385,0.5385
