# x_m,y_m,w_tr_right_m,w_tr_left_m
-5.0,6.19,0.6964,0.6964
-5.25,6.24,0.95,0.9
-5.5,6.34,0.9,0.95
-5.75,6.39,0.95,0.9
-6.0,6.49,1.0,0.95
-6.25,6.59,0.95,0.95
-6.5,6.69,0.9,0.95
-6.75,6.79,0.9,1.0
-7.0,6.89,0.85,0.95
-7.25,6.94,0.9,1.0
-7.5,7.04,0.85,0.95
-7.75,7.14,0.8,0.9
-8.0,7.19,0.95,0.95
-8.25,7.24,1.0,0.9
-8.5,7.34,0.95,0.9
-8.75,7.39,0.95,0.9
-9.0,7.44,0.95,0.9
-9.25,7.54,0.95,0.95
-9.5,7.59,0.95,0.95
-9.75,7.64,1.0,0.95
-10.0,7.69,1.0,1.0
-10.25,7.74,1.05,0.95
-10.5,7.79,1.1,0.95
-10.75,7.84,1.1,0.95
-11.0,7.89,1.1,1.0
-11.25,7.99,1.05,1.05
-11.5,8.09,1.1102,1.1
-11.75,8.09,1.0607,1.05
-11.95,8.29,1.2021,1.2021
-12.1,8.54,1.3,1.3
-12.1,8.79,1.2258,1.2258
-12.1,9.04,1.15,1.2
-12.05,9.29,1.3,1.1597
-12.0,9.54,1.1705,1.1705
-12.0,9.79,1.25,1.3
-11.95,10.04,1.2649,1.3
-11.85,10.29,1.2816,1.25
-11.6,10.29,1.2649,1.3
-11.35,10.29,1.1853,1.2
-11.1,10.24,1.0308,1.0308
-10.85,10.24,0.9618,1.1
-10.6,10.19,0.9,0.9055
-10.35,10.14,0.9,0.9014
-10.1,10.14,1.0,1.05
-9.85,10.09,1.0,1.0
-9.6,10.04,1.0,0.95
-9.35,9.99,1.0,0.95
-9.1,9.89,1.0,1.0
-8.85,9.84,1.0,1.0
-8.6,9.79,1.0,0.95
-8.35,9.69,1.0,1.0
-8.1,9.64,1.0,0.95
-7.85,9.59,1.0,0.95
-7.6,9.49,1.0,1.0
-7.35,9.44,0.9708,1.0
-7.1,9.34,1.05,1.0
-6.85,9.29,1.1,1.0
-6.6,9.19,1.05,1.0
-6.35,9.09,1.05,1.0
-6.1,9.04,1.05,1.0
-5.85,8.94,1.05,1.05
-5.6,8.89,1.1,1.05
-5.35,8.84,1.05,1.0
-5.1,8.74,1.15,1.05
-4.85,8.64,1.05,1.05
-4.6,8.54,1.05,1.05
-4.35,8.49,1.15,1.1
-4.1,8.39,1.05,1.05
-3.85,8.34,1.2,1.1
-3.6,8.24,1.1,1.1
-3.35,8.19,1.2,1.05
-3.1,8.09,1.15,1.15
-2.85,7.99,1.1,1.1
-2.6,7.94,1.1281,1.15
-2.35,7.89,1.2,1.05
-2.1,7.79,1.1281,1.15
-1.85,7.69,1.1543,1.15
-1.6,7.59,1.1769,1.2
-1.35,7.44,1.2649,1.25
-1.1,7.34,1.2855,1.3
-0.85,7.19,1.373,1.373
-0.65,6.94,1.566,1.566
-0.6,6.69,1.5042,1.55
-0.65,6.44,1.3946,1.3946
-0.65,6.19,1.3537,1.5
-0.7,5.94,1.25,1.25
-0.75,5.69,1.15,1.1543
-0.75,5.44,1.1,1.15
-0.8,5.19,1.05,1.1
-0.8,4.94,1.25,1.1281
-0.85,4.69,1.05,1.1
-0.85,4.44,1.1,1.2
-0.85,4.19,1.15,1.15
-0.9,3.94,1.1,1.15
-0.9,3.69,1.15,1.05
-0.9,3.44,1.2,1.05
-0.9,3.19,1.25,1.1281
-0.95,2.94,1.2,1.25
-0.95,2.69,1.251,1.35
-0.75,2.49,1.1,1.0512
-0.5,2.39,0.9,0.95
-0.25,2.39,0.9,0.95
0.0,2.39,0.9,0.9487
0.25,2.44,0.95,0.85
0.5,2.49,0.8246,0.85
0.75,2.54,0.8732,0.8732
1.0,2.69,0.85,0.85
1.15,2.94,0.75,0.728
1.2,3.19,0.85,0.7159
1.25,3.44,0.8,0.65
1.35,3.69,0.85,0.7
1.45,3.94,0.85,0.8
1.55,4.19,0.75,0.85
1.55,4.44,0.7762,0.75
1.7,4.69,1.0,1.0
1.95,4.89,1.0,1.0296
2.2,5.09,1.1281,1.1281
2.45,5.24,1.25,1.25
2.7,5.44,1.4714,1.4714
2.95,5.59,1.6763,1.6763
3.2,5.59,1.75,1.9
3.45,5.44,1.5,1.5
3.7,5.19,1.25,1.35
3.75,4.94,1.2,1.15
3.75,4.69,1.2,1.35
3.7,4.44,1.25,1.2
3.7,4.19,1.1543,1.25
3.7,3.94,1.15,1.2
3.7,3.69,1.1,1.15
3.7,3.44,1.15,1.1
3.7,3.19,1.25,1.15
3.7,2.94,1.1885,1.2
3.7,2.69,1.35,1.3
3.6,2.44,1.45,1.3
3.55,2.19,1.3124,1.3
3.45,1.94,1.4,1.35
3.35,1.69,1.5,1.4
3.25,1.44,1.35,1.45
3.2,1.19,1.4116,1.45
3.15,0.94,1.5,1.35
3.0,0.69,1.4431,1.45
2.85,0.54,1.2659,1.2659
2.6,0.44,1.1402,1.1
2.35,0.44,1.1011,1.1
2.1,0.39,1.0198,1.0
1.85,0.39,0.9962,0.95
1.6,0.39,1.05,0.95
1.35,0.39,0.95,0.9
1.1,0.39,0.85,0.85
0.85,0.39,0.8,0.8
0.6,0.39,0.75,0.8
0.35,0.44,0.7,0.8
0.1,0.44,0.65,0.75
-0.15,0.44,0.65,0.75
-0.4,0.49,0.6,0.75
-0.65,0.49,0.6,0.7
-0.9,0.49,0.6,0.7
