# x_m,y_m,w_tr_right_m,w_tr_left_m
6.78,5.14,0.65,0.6
6.83,5.39,0.7,0.65
6.98,5.64,0.8062,0.8062
7.23,5.84,1.05,1.05
7.48,5.99,1.2,1.1
7.73,5.94,1.05,1.15
7.98,5.94,1.2,1.15
8.23,5.94,1.15,1.1
8.48,5.94,1.1402,1.1
8.73,5.89,1.1511,1.15
8.98,5.79,1.2258,1.3
9.13,5.54,1.05,1.0
9.18,5.29,1.0,0.95
9.18,5.04,1.0,0.95
9.18,4.79,1.0,0.95
9.18,4.54,1.05,0.95
9.18,4.29,0.95,0.95
9.18,4.04,0.85,0.9
9.18,3.79,0.85,0.9
9.18,3.54,0.85,0.9
9.18,3.29,0.95,0.9
9.18,3.04,0.9341,0.9
9.18,2.79,0.9,0.85
9.13,2.54,0.95,1.0
9.08,2.29,1.0,1.05
8.98,2.04,1.25,1.2
8.93,1.79,1.25,1.1
8.93,1.54,1.15,1.25
8.88,1.29,1.3,1.15
8.83,1.04,1.3,1.3
8.83,0.79,1.2,1.15
8.78,0.54,1.4,1.4
8.73,0.29,1.2,1.2
8.48,0.14,1.0794,1.05
8.23,0.04,1.0,1.05
7.98,-0.01,0.95,0.9
7.73,-0.06,0.8559,0.85
7.48,-0.06,0.8559,0.85
7.23,-0.11,0.95,0.85
6.98,-0.11,0.9,0.8
6.73,-0.11,0.8,0.8
6.48,-0.11,0.8,0.75
6.23,-0.11,0.75,0.75
5.98,-0.16,0.75,0.7
5.73,-0.16,0.7,0.65
5.48,-0.16,0.7,0.65
5.23,-0.16,0.7,0.65
4.98,-0.16,0.65,0.65
4.73,-0.16,0.65,0.65
4.48,-0.16,0.65,0.65
4.23,-0.16,0.65,0.65
3.98,-0.11,0.65,0.75
3.73,-0.11,0.65,0.65
3.48,-0.11,0.65,0.65
3.23,-0.11,0.65,0.65
2.98,-0.11,0.6,0.6
2.73,-0.11,0.6,0.6
2.48,-0.11,0.6,0.65
2.23,-0.11,0.6,0.65
1.98,-0.11,0.65,0.6
1.73,-0.11,0.65,0.6
1.48,-0.11,0.7,0.65
1.23,-0.11,0.7,0.65
0.98,-0.11,0.8,0.75
0.73,-0.01,0.65,0.75
0.48,-0.01,0.7,0.7
0.23,-0.01,0.7,0.7
-0.02,-0.01,0.7,0.65
-0.27,0.04,0.65,0.7
-0.52,0.04,0.65,0.7
-0.77,0.04,0.75,0.7
-1.02,0.04,0.75,0.7
-1.27,0.04,0.75,0.7
-1.52,0.09,0.75,0.7
-1.77,0.09,0.75,0.7
-2.02,0.09,0.85,0.8
-2.27,0.14,0.8,0.75
-2.52,0.14,0.8016,0.8
-2.77,0.19,0.85,0.9
-3.02,0.39,1.05,1.05
-3.22,0.64,1.2855,1.25
-3.22,0.89,1.3,1.25
-3.22,1.14,1.25,1.25
-3.17,1.39,1.25,1.25
-2.92,1.64,1.0,1.0
-2.67,1.84,0.8,0.85
-2.42,1.89,0.728,0.7
-2.17,1.89,0.7,0.65
-1.92,1.89,0.7,0.65
-1.67,1.89,0.65,0.65
-1.42,1.89,0.65,0.65
-1.17,1.89,0.65,0.65
-0.92,1.89,0.65,0.65
-0.67,1.89,0.7,0.65
-0.42,1.89,0.7,0.65
-0.17,1.89,0.7,0.65
0.08,1.84,0.7,0.65
0.33,1.84,0.7,0.65
0.58,1.84,0.7,0.65
0.83,1.84,0.7,0.65
1.08,1.84,0.75,0.65
1.33,1.79,0.8,0.8
1.58,1.79,0.75,0.7
1.83,1.79,0.8,0.7
2.08,1.74,0.75,0.75
2.33,1.74,0.8,0.7
2.58,1.69,0.75,0.75
2.83,1.69,0.75,0.75
3.08,1.69,0.75,0.75
3.33,1.69,0.7,0.7
3.58,1.69,0.7,0.75
3.83,1.69,0.7,0.7
4.08,1.69,0.75,0.7
4.33,1.69,0.75,0.7
4.58,1.69,0.75,0.75
4.83,1.69,0.75,0.75
5.08,1.69,0.75,0.75
5.33,1.74,0.8,0.7
5.58,1.79,0.8,0.75
5.83,1.79,0.8,0.85
6.08,1.84,0.8,0.8139
6.33,1.94,0.85,0.9
6.58,2.09,0.8,0.7566
6.68,2.34,0.7,0.85
6.73,2.59,0.7,0.7159
6.73,2.84,0.75,0.7
6.78,3.09,0.8,0.7
6.78,3.34,0.6671,0.65
6.78,3.59,0.7,0.6
6.78,3.84,0.6,0.6
6.78,4.09,0.55,0.6
6.78,4.34,0.55,0.6
6.78,4.59,0.6,0.6
6.78,4.84,0.75,0.6
6.78,5.09,0.65,0.6
