# x_m,y_m,w_tr_right_m,w_tr_left_m
6.78,5.04,0.65,0.6
6.88,5.29,0.75,0.75
7.13,5.49,0.8,0.7906
7.38,5.59,0.8,0.7762
7.63,5.69,0.8,0.85
7.88,5.74,0.9055,0.9055
8.13,5.79,1.0012,1.0
8.38,5.79,1.05,1.0
8.63,5.64,1.15,1.15
8.78,5.39,1.15,1.0
8.93,5.14,1.0,1.0
9.03,4.89,0.7649,0.7649
9.08,4.64,0.7071,0.7071
9.13,4.39,0.7382,0.7382
9.18,4.14,0.9,0.95
9.18,3.89,0.85,0.9
9.18,3.64,0.85,0.9
9.18,3.39,0.9,0.9
9.18,3.14,0.95,0.9
9.18,2.89,0.9055,0.9
9.18,2.64,0.9,0.85
9.13,2.39,0.95,0.9
9.03,2.14,1.05,1.1
8.93,1.89,1.25,1.25
8.93,1.64,1.25,1.1
8.88,1.39,1.35,1.25
8.73,1.14,1.1543,1.1543
8.58,0.89,1.05,1.118
8.43,0.64,1.15,1.15
8.23,0.39,1.05,1.05
7.98,0.24,1.05,0.9
7.73,0.14,0.95,0.9
7.48,0.04,0.9,0.9
7.23,-0.01,0.85,0.95
6.98,-0.06,0.85,0.95
6.73,-0.11,0.85,0.9
6.48,-0.16,0.85,0.7
6.23,-0.16,0.8,0.7
5.98,-0.16,0.75,0.7
5.73,-0.16,0.7,0.65
5.48,-0.16,0.7,0.65
5.23,-0.16,0.7,0.65
4.98,-0.16,0.65,0.65
4.73,-0.16,0.65,0.65
4.48,-0.16,0.65,0.65
4.23,-0.16,0.65,0.65
3.98,-0.11,0.65,0.75
3.73,-0.11,0.65,0.65
3.48,-0.11,0.65,0.65
3.23,-0.11,0.65,0.65
2.98,-0.11,0.6,0.6
2.73,-0.11,0.6,0.6
2.48,-0.11,0.6,0.65
2.23,-0.11,0.6,0.65
1.98,-0.11,0.65,0.6
1.73,-0.11,0.65,0.6
1.48,-0.11,0.7,0.65
1.23,-0.11,0.7,0.65
0.98,-0.11,0.8,0.75
0.73,-0.01,0.65,0.75
0.48,-0.01,0.7,0.7
0.23,-0.01,0.7,0.7
-0.02,-0.01,0.7,0.65
-0.27,0.04,0.65,0.7
-0.52,0.04,0.65,0.7
-0.77,0.04,0.75,0.7
-1.02,0.04,0.75,0.7
-1.27,0.04,0.75,0.7
-1.52,0.09,0.75,0.7
-1.77,0.09,0.7,0.7
-2.02,0.09,0.75,0.75
-2.27,0.09,0.75,0.7
-2.52,0.09,0.7517,0.75
-2.77,0.19,0.85,0.8
-2.97,0.39,1.05,1.05
-3.07,0.64,1.044,1.044
-3.17,0.89,1.1,1.1011
-3.07,1.14,1.0112,1.0112
-2.97,1.39,0.95,0.9849
-2.87,1.64,1.05,0.9192
-2.62,1.84,0.8,0.85
-2.37,1.89,0.7159,0.75
-2.12,1.89,0.7,0.65
-1.87,1.89,0.65,0.65
-1.62,1.89,0.65,0.65
-1.37,1.89,0.65,0.65
-1.12,1.89,0.65,0.65
-0.87,1.89,0.65,0.65
-0.62,1.89,0.7,0.65
-0.37,1.89,0.7,0.65
-0.12,1.89,0.8,0.65
0.13,1.84,0.7,0.65
0.38,1.84,0.7,0.65
0.63,1.84,0.7,0.65
0.88,1.84,0.7,0.65
1.13,1.84,0.75,0.65
1.38,1.79,0.75,0.7
1.63,1.79,0.75,0.7
1.88,1.79,0.85,0.75
2.13,1.74,0.75,0.7
2.38,1.74,0.75,0.7
2.63,1.69,0.75,0.75
2.88,1.69,0.75,0.75
3.13,1.69,0.7,0.75
3.38,1.69,0.7,0.7
3.63,1.69,0.7,0.75
3.88,1.69,0.75,0.7
4.13,1.69,0.75,0.7
4.38,1.69,0.75,0.7
4.63,1.69,0.75,0.75
4.88,1.69,0.75,0.75
5.13,1.69,0.75,0.75
5.38,1.74,0.75,0.75
5.63,1.79,0.8,0.75
5.88,1.79,0.8,0.9
6.13,1.84,0.8,0.8062
6.38,1.94,0.85,0.95
6.58,2.14,0.8,0.7649
6.68,2.39,0.7,0.7071
6.73,2.64,0.75,0.728
6.73,2.89,0.8,0.65
6.78,3.14,0.8,0.65
6.78,3.39,0.8,0.65
6.78,3.64,0.65,0.6
6.78,3.89,0.6,0.6
6.78,4.14,0.55,0.6
6.78,4.39,0.55,0.6
6.78,4.64,0.6,0.6
6.78,4.89,0.65,0.6
