# x_m,y_m,w_tr_right_m,w_tr_left_m
6.7800,5.0400,0.6500,0.5000
6.8800,5.2900,0.7000,0.5500
7.1300,5.4900,0.7000,0.7000
7.3800,5.5900,0.7000,0.8500
7.6300,5.6900,0.7500,0.9500
7.8800,5.7400,0.8000,0.9500
8.1300,5.7900,0.9000,0.8500
8.3800,5.7900,1.0000,0.8500
8.6300,5.6400,1.0000,0.9500
8.7800,5.3900,0.9500,0.9000
8.9300,5.1400,0.9000,0.9000
9.0300,4.8900,0.8500,0.6500
9.0800,4.6400,0.8000,0.9000
9.1300,4.3900,0.7500,0.9000
9.1800,4.1400,0.7500,0.8500
9.1800,3.8900,0.7000,0.8000
9.1800,3.6400,0.7000,0.8000
9.1800,3.3900,0.7500,0.8000
9.1800,3.1400,0.8000,0.8000
9.1800,2.8900,0.9000,0.8000
9.1800,2.6400,1.0500,0.8000
9.1300,2.3900,1.1500,0.8500
9.0300,2.1400,1.1000,0.9500
8.9300,1.8900,1.1000,1.0500
8.9300,1.6400,1.1500,1.0500
8.8800,1.3900,1.1000,1.1000
8.7300,1.1400,1.0000,1.2000
8.5800,0.8900,0.9500,1.2000
8.4300,0.6400,0.9000,1.0500
8.2300,0.3900,0.9000,0.8500
7.9800,0.2400,0.8500,0.8000
7.7300,0.1400,0.7500,0.8000
7.4800,0.0400,0.7500,0.8000
7.2300,-0.0100,0.7000,0.8500
6.9800,-0.0600,0.7000,0.8000
6.7300,-0.1100,0.7000,0.7000
6.4800,-0.1600,0.7000,0.6500
6.2300,-0.1600,0.6000,0.6000
5.9800,-0.1600,0.6000,0.6000
5.7300,-0.1600,0.5500,0.5500
5.4800,-0.1600,0.5500,0.5500
5.2300,-0.1600,0.5500,0.5500
4.9800,-0.1600,0.5000,0.5500
4.7300,-0.1600,0.5000,0.5500
4.4800,-0.1600,0.5000,0.5500
4.2300,-0.1600,0.5500,0.5500
3.9800,-0.1100,0.5000,0.6000
3.7300,-0.1100,0.5000,0.5500
3.4800,-0.1100,0.5000,0.5500
3.2300,-0.1100,0.5000,0.5500
2.9800,-0.1100,0.5000,0.5500
2.7300,-0.1100,0.4500,0.5500
2.4800,-0.1100,0.4500,0.5500
2.2300,-0.1100,0.5000,0.5500
1.9800,-0.1100,0.5000,0.5500
1.7300,-0.1100,0.5000,0.5500
1.4800,-0.1100,0.5500,0.5500
1.2300,-0.1100,0.5500,0.5500
0.9800,-0.1100,0.6000,0.5500
0.7300,-0.0100,0.5500,0.6500
0.4800,-0.0100,0.5500,0.6000
0.2300,-0.0100,0.5500,0.5500
-0.0200,-0.0100,0.6000,0.6000
-0.2700,0.0400,0.5500,0.6500
-0.5200,0.0400,0.5000,0.6000
-0.7700,0.0400,0.5500,0.5500
-1.0200,0.0400,0.6500,0.5500
-1.2700,0.0400,0.6500,0.6000
-1.5200,0.0900,0.6500,0.6500
-1.7700,0.0900,0.6000,0.6000
-2.0200,0.0900,0.6000,0.6000
-2.2700,0.0900,0.6500,0.6000
-2.5200,0.0900,0.8000,0.6500
-2.7700,0.1900,0.9000,0.7500
-2.9700,0.3900,0.9500,0.9500
-3.0700,0.6400,0.9500,1.2500
-3.1700,0.8900,1.0500,1.1500
-3.0700,1.1400,0.9000,1.2000
-2.9700,1.3900,0.9000,1.0000
-2.8700,1.6400,0.9500,0.7500
-2.6200,1.8400,0.9000,0.6500
-2.3700,1.8900,0.7500,0.5500
-2.1200,1.8900,0.6000,0.5500
-1.8700,1.8900,0.6000,0.5500
-1.6200,1.8900,0.6000,0.5500
-1.3700,1.8900,0.6000,0.5500
-1.1200,1.8900,0.6000,0.5500
-0.8700,1.8900,0.6000,0.5500
-0.6200,1.8900,0.6000,0.5500
-0.3700,1.8900,0.6000,0.5500
-0.1200,1.8900,0.6500,0.5500
0.1300,1.8400,0.6000,0.5500
0.3800,1.8400,0.6500,0.5000
0.6300,1.8400,0.6500,0.5000
0.8800,1.8400,0.6500,0.5000
1.1300,1.8400,0.6500,0.5500
1.3800,1.7900,0.6500,0.6000
1.6300,1.7900,0.7000,0.5500
1.8800,1.7900,0.7000,0.5500
2.1300,1.7400,0.7000,0.6000
2.3800,1.7400,0.7000,0.6000
2.6300,1.6900,0.6500,0.6500
2.8800,1.6900,0.6500,0.6000
3.1300,1.6900,0.6500,0.6000
3.3800,1.6900,0.6500,0.5500
3.6300,1.6900,0.6500,0.6000
3.8800,1.6900,0.6500,0.5500
4.1300,1.6900,0.6500,0.5500
4.3800,1.6900,0.6500,0.5500
4.6300,1.6900,0.6500,0.6000
4.8800,1.6900,0.6500,0.6000
5.1300,1.6900,0.7000,0.6500
5.3800,1.7400,0.7000,0.6000
5.6300,1.7900,0.7500,0.6000
5.8800,1.7900,0.7000,0.6500
6.1300,1.8400,0.7000,0.7000
6.3800,1.9400,0.7500,0.7500
6.5800,2.1400,0.6500,0.7500
6.6800,2.3900,0.6000,0.6500
6.7300,2.6400,0.6000,0.6000
6.7300,2.8900,0.7000,0.5500
6.7800,3.1400,0.7000,0.5500
6.7800,3.3900,0.6000,0.5000
6.7800,3.6400,0.5500,0.4500
6.7800,3.8900,0.4500,0.4500
6.7800,4.1400,0.4500,0.4500
6.7800,4.3900,0.4500,0.4500
6.7800,4.6400,0.5000,0.4500
6.7800,4.8900,0.6000,0.4500
6.7800,5.0400,0.6500,0.5000
