# x_m,y_m,w_tr_right_m,w_tr_left_m
-4.8439,-0.8114,0.5408,0.5408
-4.7939,-0.5614,0.65,0.65
-4.6939,-0.3114,0.65,0.65
-4.5939,-0.0614,0.65,0.65
-4.4939,0.1886,0.8,0.7
-4.3939,0.4386,0.75,0.65
-4.2939,0.6886,0.8,0.65
-4.1939,0.9386,0.8,0.7
-4.1439,1.1886,0.7071,0.7
-4.0939,1.4386,0.85,0.7
-4.0439,1.6886,0.85,0.75
-4.0939,1.9386,0.7649,0.75
-4.1439,2.1886,0.9,0.8062
-4.2439,2.4386,0.85,0.85
-4.4939,2.6886,0.95,0.85
-4.6939,2.9386,0.75,0.75
-4.9439,2.9886,0.75,0.728
-5.1939,3.0886,0.75,0.7159
-5.4439,3.1886,0.65,0.8
-5.6939,3.2886,0.7,0.75
-5.9439,3.4386,0.7,0.7
-6.1939,3.6386,0.8,0.7826
-6.2939,3.8886,0.75,0.7826
-6.4439,4.1386,0.8559,0.8559
-6.5439,4.3886,0.95,0.9513
-6.6939,4.6386,1.1402,1.1402
-6.6939,4.8886,1.2,1.2298
-6.6439,5.1386,1.3038,1.3038
-6.5439,5.3886,1.321,1.35
-6.3439,5.6386,1.5,1.4
-6.0939,5.7886,1.4318,1.4318
-5.8439,5.7386,1.2816,1.2816
-5.5939,5.6886,1.1543,1.1543
-5.3439,5.5886,1.005,1.005
-5.0939,5.5386,0.95,0.95
-4.8439,5.4886,0.85,0.9
-4.5939,5.4386,0.8,0.85
-4.3439,5.3886,0.85,0.8246
-4.0939,5.2886,0.8,0.95
-3.8439,5.2386,0.85,0.85
-3.5939,5.0886,0.85,0.85
-3.3439,4.9386,0.8732,0.85
-3.1439,4.6886,1.05,1.0
-2.8939,4.4886,1.0,1.05
-2.6439,4.2886,1.15,1.15
-2.3939,4.0886,1.2,1.2
-2.1439,3.8886,1.35,1.35
-1.8939,3.6386,1.4,1.4
-1.7439,3.3886,1.4,1.4318
-1.5939,3.1386,1.4577,1.4577
-1.5439,2.8886,1.5,1.4318
-1.5939,2.6386,1.35,1.3238
-1.6439,2.3886,1.2,1.2258
-1.6939,2.1386,1.1,1.15
-1.7439,1.8886,1.05,1.1
-1.7939,1.6386,1.0,1.05
-1.8439,1.3886,1.0,1.0012
-1.8939,1.1386,0.95,0.9552
-1.9439,0.8886,0.95,0.9618
-1.9939,0.6386,1.0,0.9823
-2.0439,0.3886,1.0,1.05
-2.1439,0.1386,1.1,1.15
-2.2439,-0.1114,1.0,1.0
-2.3439,-0.3614,1.05,1.0
-2.4439,-0.6114,0.9823,1.1
-2.5939,-0.8614,1.05,1.05
-2.7439,-1.1114,1.0,1.05
-2.8439,-1.3614,1.0,1.0
-2.9939,-1.6114,1.0,1.0
-3.0939,-1.8614,1.05,1.0
-3.2439,-2.1114,1.05,1.05
-3.3939,-2.3614,1.05,1.05
-3.5439,-2.6114,1.05,1.05
-3.6939,-2.8614,1.0,1.05
-3.7939,-3.1114,1.0,1.05
-3.9439,-3.3614,1.05,1.05
-4.0439,-3.6114,1.0,1.0
-4.1939,-3.8614,1.0,0.95
-4.3939,-4.1114,0.95,1.05
-4.4939,-4.3614,0.95,0.95
-4.6439,-4.6114,0.95,1.0
-4.7939,-4.8614,0.9,0.95
-4.8939,-5.1114,0.95,0.95
-4.9939,-5.3614,0.95,0.9
-5.1439,-5.6114,1.0,0.95
-5.3439,-5.8614,0.95,1.0
-5.4939,-6.1114,0.9925,1.0
-5.7439,-6.2614,0.95,0.9434
-5.9939,-6.3614,0.9341,0.9341
-6.2439,-6.4614,1.0,1.0
-6.4939,-6.5614,1.2,1.1011
-6.7439,-6.5614,1.1402,1.1402
-6.9939,-6.5114,1.1853,1.1853
-7.2439,-6.3114,1.1236,1.1236
-7.2439,-6.0614,1.0,1.1
-7.1939,-5.8114,0.8276,0.8276
-7.1439,-5.5614,0.6964,0.6964
-7.0939,-5.3114,0.55,0.6
-7.0439,-5.0614,0.6,0.6042
-6.9939,-4.8114,0.7,0.75
-6.8939,-4.5614,0.8,0.75
-6.7439,-4.3114,0.65,0.65
-6.6439,-4.0614,0.75,0.6
-6.4939,-3.8114,0.75,0.7
-6.3939,-3.5614,0.75,0.65
-6.2939,-3.3114,0.75,0.75
-6.1439,-3.0614,0.7,0.8
-6.0439,-2.8114,0.8,0.7
-5.9439,-2.5614,0.6364,0.6364
-5.7939,-2.3614,0.7,0.7
-5.6439,-2.1114,0.65,0.7
-5.5439,-1.8614,0.7,0.7
-5.4439,-1.6114,0.65,0.6
-5.2439,-1.3614,0.6,0.65
-5.1439,-1.1114,0.65,0.65
-4.8939,-0.9114,0.5,0.5385
