# fe7720f0-84f4-4bdf-bb98-e77a4dd7f3b4
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -4.3366456; 5.9925515; -2.3805655; -0.3645721; 4.3601403; -0.2116000
0.0998898; -4.2691081; 5.9189776; -2.4175193; -0.3761854; 4.3552899; -0.4047340
0.1997796; -4.2043608; 5.8428982; -2.4556227; -0.3864790; 4.3459973; -0.5462774
0.2996694; -4.1425887; 5.7643634; -2.4947374; -0.3962588; 4.3334233; -0.6574353
0.3995592; -4.0839694; 5.6834363; -2.5348394; -0.4057247; 4.3182421; -0.7454186
0.4994490; -4.0286814; 5.6001999; -2.5758720; -0.4148385; 4.3009645; -0.8122198
0.5993389; -3.9768978; 5.5147507; -2.6178052; -0.4238850; 4.2820592; -0.8657097
0.6992287; -3.9287883; 5.4271985; -2.6606327; -0.4331200; 4.2618165; -0.9120919
0.7991185; -3.8845200; 5.3376619; -2.7043878; -0.4429677; 4.2403847; -0.9596253
0.8990083; -3.8442608; 5.2462653; -2.7491593; -0.4540038; 4.2177184; -1.0177712
0.9988981; -3.8081852; 5.1531352; -2.7951140; -0.4670533; 4.1935449; -1.0984644
1.0987879; -3.7764840; 5.0583986; -2.8425266; -0.4832983; 4.1672974; -1.2171270
1.1986777; -3.7493797; 4.9621875; -2.8918227; -0.5044619; 4.1380201; -3.9391170
1.2985675; -3.7271489; 4.8646575; -2.9436371; -0.5330864; 4.0418134; -7.6281620
1.3984573; -3.7101520; 4.7660360; -2.9988890; -0.5729269; 3.8486756; -7.3061429
1.4983471; -3.6988625; 4.6667257; -3.0588517; -0.6293068; 3.6541327; -6.8407398
1.5982369; -3.6938715; 4.5674934; -3.1251078; -0.7082167; 3.4620868; -6.3547491
1.6981267; -3.6959450; 4.4670796; 3.0821784; -0.8045592; 3.2736060; -6.2015383
1.7980166; -3.7059763; 4.3680476; 2.9977649; -0.8895877; 3.0785638; -4.9240682
1.8979064; -3.7246969; 4.2704084; 2.9037888; -1.1108454; 2.9144170; -2.2353471
1.9977962; -3.7541777; 4.1758335; 2.7677073; -1.4911927; 2.8367675; -2.2353471
2.0976860; -3.7972539; 4.0854191; 2.6312317; -1.2058949; 2.7569318; 0.7230894
2.1975758; -3.8504815; 4.0015455; 2.5252499; -0.9458986; 2.7830076; 2.5224653
2.2974656; -3.9119847; 3.9224253; 2.4390993; -0.7852991; 2.8721192; 3.0085921
2.3973554; -3.9795641; 3.8484120; 2.3657966; -0.6854638; 2.9749158; 2.8416322
2.4972452; -4.0519269; 3.7793619; 2.3008809; -0.6182950; 3.0688474; 2.6839377
2.5971350; -4.1282979; 3.7150252; 2.2416304; -0.5726686; 3.1549992; 2.5349944
2.6970248; -4.2081682; 3.6552036; 2.1861859; -0.5414377; 3.2342635; 2.3943165
2.7969146; -4.2911595; 3.5997835; 2.1333309; -0.5194672; 3.3073851; 2.2614455
2.8968044; -4.3769527; 3.5487201; 2.0822932; -0.5034816; 3.3749943; 2.1359481
2.9966943; -4.4652553; 3.5020122; 2.0325936; -0.4912970; 3.4376308; 2.0174151
3.0965841; -4.5557873; 3.4596792; 1.9839537; -0.4813892; 3.4957609; 1.9054600
3.1964739; -4.6482773; 3.4217438; 1.9362378; -0.4726403; 3.5497910; 1.7997177
3.2963637; -4.7424614; 3.3882191; 1.8894130; -0.4642108; 3.6000782; 1.6998436
3.3962535; -4.8380290; 3.3591164; 1.8435410; -0.4549047; 3.6469381; 1.6055119
3.4961433; -4.9347719; 3.3343917; 1.7986726; -0.4439176; 3.6906511; 1.5164151
3.5960331; -5.0325586; 3.3139703; 1.7548793; -0.4320843; 3.7314682; 1.4322626
3.6959229; -5.1311538; 3.2977867; 1.7123154; -0.4188178; 3.7696142; 1.3527802
3.7958127; -5.2303294; 3.2857444; 1.6711731; -0.4045369; 3.8052923; 1.2777085
3.8957025; -5.3298849; 3.2777198; 1.6315322; -0.3893324; 3.8386859; 1.2068029
3.9955923; -5.4297099; 3.2735642; 1.5935739; -0.3711268; 3.8699618; 1.1398322
4.0954821; -5.5296540; 3.2731143; 1.5572910; -0.3550691; 3.8992716; 1.0765780
4.1953720; -5.6295165; 3.2762121; 1.5224870; -0.3423826; 3.9267541; 1.0168340
4.2952618; -5.7291686; 3.2827200; 1.4888674; -0.3311286; 3.9525359; 0.9604055
4.3951516; -5.8285310; 3.2925170; 1.4563433; -0.3203845; 3.9767336; 0.9071084
4.4950414; -5.9275181; 3.3054859; 1.4248751; -0.3099723; 3.9994539; 0.8567690
4.5949312; -6.0261609; 3.3215312; 1.3943841; -0.3001482; 4.0207955; 0.8092232
4.6948210; -6.1242560; 3.3405237; 1.3648737; -0.2905844; 4.0408493; 0.7643159
4.7947108; -6.2217401; 3.3623516; 1.3363143; -0.2812547; 4.0596992; 0.7219007
4.8946006; -6.3185569; 3.3869054; 1.3086827; -0.2720871; 4.0774230; 0.6818393
4.9944904; -6.4146581; 3.4140772; 1.2819638; -0.2630195; 4.0940928; 0.6440011
5.0943802; -6.5100021; 3.4437603; 1.2561494; -0.2539899; 4.1097755; 0.6082626
5.1942700; -6.6045544; 3.4758490; 1.2312377; -0.2449392; 4.1245331; 0.5745075
5.2941598; -6.6983512; 3.5102624; 1.2072176; -0.2358290; 4.1384234; 0.5426256
5.3940497; -6.7913144; 3.5468774; 1.1841145; -0.2265831; 4.1515001; 0.5125129
5.4939395; -6.8834152; 3.5855831; 1.1619473; -0.2171519; 4.1638135; 0.4840714
5.5938293; -6.9746468; 3.6262738; 1.1407354; -0.2074956; 4.1754102; 0.4572082
5.6937191; -7.0650088; 3.6688435; 1.1204852; -0.1982262; 4.1863339; 0.4318357
5.7936089; -7.1545046; 3.7131917; 1.1010877; -0.1913466; 4.1966252; 0.4078713
5.8934987; -7.2431314; 3.7592412; 1.0821804; -0.1874997; 4.2063224; 0.3852367
5.9933885; -7.3308774; 3.8069411; 1.0636128; -0.1842769; 4.2154609; 0.3638583
6.0932783; -7.4177294; 3.8562467; 1.0453802; -0.1807937; 4.2240741; 0.3436662
6.1931681; -7.5036769; 3.9071121; 1.0275105; -0.1770070; 4.2321932; 0.3245947
6.2930579; -7.5887230; 3.9594955; 1.0100342; -0.1728691; 4.2398475; 0.3065815
6.3929477; -7.6728657; 4.0133480; 0.9929882; -0.1683299; 4.2470643; 0.2895680
6.4928375; -7.7560868; 4.0686045; 0.9764180; -0.1633482; 4.2538694; 0.2734986
6.5927274; -7.8383918; 4.1252086; 0.9603699; -0.1578784; 4.2602869; 0.2583210
6.6926172; -7.9197909; 4.1831010; 0.9448947; -0.1518784; 4.2663394; 0.2439856
6.7925070; -8.0003002; 4.2422193; 0.9300472; -0.1453038; 4.2720481; 0.2304458
6.8923968; -8.0799411; 4.3024979; 0.9158863; -0.1381313; 4.2774331; 0.2176573
6.9922866; -8.1587415; 4.3638679; 0.9024738; -0.1302901; 4.2825129; 0.2055786
7.0921764; -8.2367565; 4.4262550; 0.8907468; -0.0871860; 4.2873054; 0.1941701
7.1920662; -8.3142545; 4.4893191; 0.8862108; 0.0042178; 4.2918270; 0.1833948
7.2919560; -8.3917756; 4.5523430; 0.8916181; 0.0878473; 4.2960933; 0.1732174
7.3918458; -8.4698112; 4.6146923; 0.9022835; 0.1184215; 4.3001189; 0.1636048
7.4917356; -8.5485626; 4.6761237; 0.9145026; 0.1262028; 4.3039177; 0.1545257
7.5916254; -8.6280826; 4.7365583; 0.9274837; 0.1337002; 4.3075026; 0.1459504
7.6915152; -8.7084035; 4.7959265; 0.9412030; 0.1409803; 4.3108858; 0.1378510
7.7914051; -8.7895537; 4.8541591; 0.9556397; 0.1480556; 4.3140788; 0.1302010
7.8912949; -8.8715579; 4.9111866; 0.9707734; 0.1549172; 4.3170925; 0.1229756
7.9911847; -8.9544371; 4.9669401; 0.9865827; 0.1615544; 4.3199370; 0.1161512
8.0910745; -9.0382082; 5.0213509; 1.0030448; 0.1679498; 4.3226219; 0.1097054
8.1909643; -9.1228746; 5.0743450; 1.0201343; 0.1741235; 4.3251563; 0.1036174
8.2908541; -9.2084462; 5.1258564; 1.0378245; 0.1800002; 4.3275487; 0.0978672
8.3907439; -9.2949262; 5.1758188; 1.0560919; 0.1857146; 4.3298071; 0.0924361
8.4906337; -9.3823144; 5.2241672; 1.0749021; 0.1908627; 4.3319391; 0.0873065
8.5905235; -9.4706040; 5.2708383; 1.0942304; 0.1962622; 4.3339519; 0.0824614
8.6904133; -9.5597876; 5.3157689; 1.1140807; 0.2012011; 4.3358520; 0.0778853
8.7903031; -9.6498805; 5.3589163; 1.1341787; 0.1991332; 4.3376460; 0.0735631
8.8901929; -9.7408401; 5.4002734; 1.1538849; 0.1956285; 4.3393397; 0.0694808
8.9900828; -9.8325762; 5.4398356; 1.1734065; 0.1969077; 4.3409388; 0.0656250
9.0899726; -9.9250665; 5.4775822; 1.1932823; 0.2003217; 4.3424487; 0.0619832
9.1898624; -10.0183007; 5.5134733; 1.2134117; 0.2030581; 4.3438743; 0.0585435
9.2897522; -10.1122401; 5.5474633; 1.2339051; 0.2072807; 4.3452203; 0.0552946
9.3896420; -10.2068597; 5.5794992; 1.2548449; 0.2121291; 4.3464912; 0.0522261
9.4895318; -10.3021297; 5.6095196; 1.2763296; 0.2181861; 4.3476913; 0.0493278
9.5894216; -10.3980342; 5.6374561; 1.2984798; 0.2254432; 4.3488245; 0.0465904
9.6893114; -10.4945524; 5.6632268; 1.3214245; 0.2340836; 4.3498945; 0.0440049
9.7892012; -10.5916496; 5.6867327; 1.3453030; 0.2441738; 4.3509049; 0.0415629
9.8890910; -10.6892903; 5.7078620; 1.3702540; 0.2555427; 4.3518590; 0.0392564
9.9889808; -10.7874348; 5.7264909; 1.3963779; 0.2674651; 4.3527600; 0.0370779
10.0888706; -10.8860361; 5.7424895; 1.4237186; 0.2801233; 4.3536108; 0.0350203
10.1887605; -10.9850398; 5.7557217; 1.4523704; 0.2938057; 4.3544142; 0.0330768
10.2886503; -11.0843821; 5.7660420; 1.4824336; 0.3083619; 4.3551730; 0.0312413
10.3885401; -11.1839890; 5.7732978; 1.5139761; 0.3233679; 4.3558894; 0.0295075
10.4884299; -11.2837738; 5.7773338; 1.5470052; 0.3375767; 4.3565661; 0.0278700
10.5883197; -11.3836364; 5.7780063; 1.5812940; 0.3472641; 4.3572050; 0.0263234
10.6882095; -11.4834662; 5.7752232; 1.6160596; 0.3481897; 4.3578085; 0.0248626
10.7880993; -11.5831480; 5.7689744; 1.6506870; 0.3446786; 4.3583783; 0.0234829
10.8879891; -11.6825723; 5.7592994; 1.6848005; 0.3377561; 4.3589165; 0.0221797
10.9878789; -11.7816152; 5.7462787; 1.7180502; 0.3274256; 4.3594247; 0.0209489
11.0877687; -11.8801222; 5.7300345; 1.7502432; 0.3173218; 4.3599047; 0.0197863
11.1876585; -11.9779916; 5.7107334; 1.7800334; 0.2750632; 4.3603580; 0.0186883
11.2875483; -12.0752555; 5.6887578; 1.8053255; 0.2347957; 4.3607861; 0.0176512
11.3874382; -12.1721243; 5.6644574; 1.8276000; 0.2185579; 4.3611904; 0.0166717
11.4873280; -12.2685519; 5.6380115; 1.8492364; 0.2120592; 4.3615723; 0.0157465
11.5872178; -12.3644235; 5.6095184; 1.8699937; 0.2041330; 4.3619329; 0.0148726
11.6871076; -12.4596905; 5.5790698; 1.8902638; 0.2016917; 4.3622735; 0.0140473
11.7869974; -12.5541927; 5.5467521; 1.9103383; 0.2009044; 4.3625951; 0.0132677
11.8868872; -12.6480853; 5.5125205; 1.9305036; 0.2031920; 4.3628989; 0.0125315
11.9867770; -12.7413162; 5.4763653; 1.9510717; 0.2085697; 4.3631858; 0.0118360
12.0866668; -12.8337467; 5.4382810; 1.9723412; 0.2174196; 4.3634568; 0.0111792
