#s_m;d_m;psi_rad;vx_mps
0.000000;0.000000;-0.512473;3.929083
0.099892;0.000000;-0.577376;3.878012
0.199784;0.000000;-0.646339;3.839681
0.299675;0.000000;-0.720223;3.816615
0.399567;0.000000;-0.798640;3.805020
0.499459;0.000000;-0.879092;3.796769
0.599351;0.000000;-0.960690;3.792898
0.699242;0.000000;-1.043517;3.792661
0.799134;0.000000;-1.125353;3.792425
0.899026;0.000000;-1.203920;3.804334
0.998918;0.000000;-1.280529;3.824872
1.098809;0.000000;-1.356227;3.829591
1.198701;0.000000;-1.431641;3.805954
1.298593;0.000000;-1.507059;3.777868
1.398484;0.000000;-1.583202;3.746280
1.498376;0.000000;-1.661011;3.718139
1.598268;0.000000;-1.741508;3.695945
1.698160;0.000000;-1.826494;3.695715
1.798051;0.000000;-1.914388;3.695484
1.897943;0.000000;-2.000403;3.697758
1.997835;0.000000;-2.084769;3.707621
2.097727;0.000000;-2.167756;3.720542
2.197619;0.000000;-2.246684;3.736254
2.297510;0.000000;-2.319257;3.772852
2.397402;0.000000;-2.385855;3.827725
2.497294;0.000000;-2.447087;3.895374
2.597186;0.000000;-2.503334;3.972974
2.697077;0.000000;-2.554777;4.059307
2.796969;0.000000;-2.601416;4.154055
2.896861;0.000000;-2.643157;4.257533
2.996753;0.000000;-2.679859;4.370452
3.096644;0.000000;-2.711368;4.489691
3.196536;0.000000;-2.737558;4.605829
3.296428;0.000000;-2.758985;4.719095
3.396320;0.000000;-2.777941;4.829693
3.496211;0.000000;-2.796845;4.937800
3.596103;0.000000;-2.816350;5.043578
3.695995;0.000000;-2.836452;5.147170
3.795887;0.000000;-2.857159;5.248705
3.895778;0.000000;-2.878444;5.348300
3.995670;0.000000;-2.900222;5.446062
4.095562;0.000000;-2.922454;5.542088
4.195454;0.000000;-2.945147;5.632808
4.295345;0.000000;-2.968291;5.715570
4.395237;0.000000;-2.991883;5.790883
4.495129;0.000000;-3.015917;5.859196
4.595021;0.000000;-3.040399;5.920927
4.694912;0.000000;-3.065320;5.976497
4.794804;0.000000;-3.090675;6.026270
4.894696;0.000000;-3.116459;6.070577
4.994588;-0.000000;3.140518;6.109730
5.094479;-0.000000;3.113890;6.144021
5.194371;-0.000000;3.086843;6.155950
5.294263;-0.000000;3.059369;6.129703
5.394155;-0.000000;3.031486;6.104425
5.494046;-0.000000;3.003198;6.080131
5.593938;-0.000000;2.974510;6.056833
5.693830;-0.000000;2.945427;6.034552
5.793722;-0.000000;2.915954;6.013311
5.893613;-0.000000;2.886094;5.993138
5.993505;-0.000000;2.855841;5.974044
6.093397;-0.000000;2.825198;5.956048
6.193289;-0.000000;2.794176;5.939204
6.293180;-0.000000;2.762777;5.923577
6.393072;-0.000000;2.731000;5.909246
6.492964;-0.000000;2.698844;5.896311
6.592856;-0.000000;2.666306;5.884893
6.692747;-0.000000;2.633379;5.875139
6.792639;-0.000000;2.600055;5.867226
6.892531;-0.000000;2.566322;5.861366
6.992423;-0.000000;2.532161;5.857809
7.092314;-0.000000;2.497544;5.856837
7.192206;-0.000000;2.462629;5.856472
7.292098;-0.000000;2.428196;5.856106
7.391990;-0.000000;2.395371;5.863168
7.491881;-0.000000;2.364389;5.880217
7.591773;-0.000000;2.335207;5.906816
7.691665;-0.000000;2.307788;5.942147
7.791557;-0.000000;2.282108;5.985600
7.891448;-0.000000;2.258213;6.036710
7.991340;-0.000000;2.238861;6.096396
8.091232;-0.000000;2.229230;6.182254
8.191124;-0.000000;2.210910;6.266924
8.291016;-0.000000;2.190813;6.333476
8.390907;-0.000000;2.170661;6.394405
8.490799;-0.000000;2.150528;6.452345
8.590691;-0.000000;2.130469;6.507789
8.690582;-0.000000;2.110451;6.560956
8.790474;-0.000000;2.090451;6.611793
8.890366;-0.000000;2.070446;6.660292
8.990258;-0.000000;2.050416;6.706437
9.090150;-0.000000;2.030344;6.750193
9.190041;-0.000000;2.010215;6.791564
9.289933;-0.000000;1.990014;6.830579
9.389825;-0.000000;1.969732;6.867280
9.489717;-0.000000;1.949359;6.901713
9.589608;-0.000000;1.928886;6.933924
9.689500;-0.000000;1.908305;6.963961
9.789392;-0.000000;1.887608;6.991864
9.889283;-0.000000;1.866785;7.017667
9.989175;-0.000000;1.845825;7.041395
10.089067;-0.000000;1.824717;7.063059
10.188959;-0.000000;1.803450;7.082666
10.288851;-0.000000;1.782008;7.100211
10.388742;-0.000000;1.760377;7.115680
10.488634;-0.000000;1.738543;7.129059
10.588526;-0.000000;1.716490;7.140327
10.688417;-0.000000;1.694202;7.149468
10.788309;-0.000000;1.671666;7.156467
10.888201;-0.000000;1.648869;7.161322
10.988093;-0.000000;1.625806;7.164046
11.087984;-0.000000;1.602651;7.164866
11.187876;-0.000000;1.581335;7.169573
11.287768;0.000000;1.567559;7.204155
11.387660;0.000000;1.561251;7.276828
11.487552;0.000000;1.557207;7.348773
11.587443;0.000000;1.553165;7.420012
11.687335;0.000000;1.549159;7.490564
11.787227;0.000000;1.545226;7.560449
11.887118;0.000000;1.541401;7.629686
11.987010;0.000000;1.537719;7.698292
12.086902;0.000000;1.534215;7.766283
12.186794;0.000000;1.530922;7.833675
12.286686;0.000000;1.527870;7.900485
12.386577;0.000000;1.525091;7.966726
12.486469;0.000000;1.522614;8.000000
12.586361;0.000000;1.520465;8.000000
12.686253;0.000000;1.518671;8.000000
12.786144;0.000000;1.517256;8.000000
12.886036;0.000000;1.516242;8.000000
12.985928;0.000000;1.515650;8.000000
13.085820;0.000000;1.515499;8.000000
13.185711;0.000000;1.515809;8.000000
13.285603;0.000000;1.516596;8.000000
13.385495;0.000000;1.517875;8.000000
13.485387;0.000000;1.519660;8.000000
13.585278;0.000000;1.521964;8.000000
13.685170;0.000000;1.524797;8.000000
13.785062;0.000000;1.528125;8.000000
13.884954;0.000000;1.531752;8.000000
13.984845;0.000000;1.535318;8.000000
14.084737;0.000000;1.538715;8.000000
14.184629;0.000000;1.541935;8.000000
14.284521;0.000000;1.544977;8.000000
14.384412;0.000000;1.547840;8.000000
14.484304;0.000000;1.550525;8.000000
14.584196;0.000000;1.553028;8.000000
14.684088;0.000000;1.555347;8.000000
14.783979;0.000000;1.557477;8.000000
14.883871;0.000000;1.559414;8.000000
14.983763;0.000000;1.561152;8.000000
15.083655;0.000000;1.562684;8.000000
15.183546;0.000000;1.564002;8.000000
15.283438;0.000000;1.565097;8.000000
15.383330;0.000000;1.565959;8.000000
15.483222;0.000000;1.566575;8.000000
15.583113;0.000000;1.566934;8.000000
15.683005;0.000000;1.567020;8.000000
15.782897;0.000000;1.566818;8.000000
15.882789;0.000000;1.566310;8.000000
15.982680;0.000000;1.565479;7.889524
16.082572;0.000000;1.564306;7.746092
16.182464;0.000000;1.562769;7.602419
16.282356;0.000000;1.560848;7.458435
16.382247;0.000000;1.558522;7.314060
16.482139;0.000000;1.555771;7.169162
16.582031;0.000000;1.552571;7.023670
16.681923;0.000000;1.545968;6.921365
16.781814;0.000000;1.533730;6.841382
16.881706;0.000000;1.519057;6.766784
16.981598;0.000000;1.503969;6.691516
17.081490;0.000000;1.489906;6.610347
17.181381;0.000000;1.476883;6.516140
17.281273;0.000000;1.463799;6.416279
17.381165;0.000000;1.450854;6.311672
17.481057;0.000000;1.437883;6.202148
17.580948;0.000000;1.424831;6.088102
17.680840;0.000000;1.411624;5.969549
17.780732;0.000000;1.398199;5.846543
17.880624;0.000000;1.384499;5.719010
17.980515;0.000000;1.370474;5.586792
18.080407;0.000000;1.356080;5.449622
18.180299;0.000000;1.341276;5.307103
18.280191;0.000000;1.326035;5.158653
18.380083;0.000000;1.310355;5.003476
18.479974;0.000000;1.294196;4.840532
18.579866;0.000000;1.277045;4.671146
18.679758;0.000000;1.257130;4.508398
18.779650;0.000000;1.232226;4.355920
18.879541;0.000000;1.201911;4.212492
18.979433;0.000000;1.166263;4.076711
19.079325;0.000000;1.125304;3.946757
19.179216;0.000000;1.078891;3.824557
19.279108;0.000000;1.026057;3.712172
19.379000;0.000000;0.966254;3.609545
19.478892;0.000000;0.899584;3.516735
19.578784;0.000000;0.825838;3.433788
19.678675;0.000000;0.745055;3.360879
19.778567;0.000000;0.657302;3.298401
19.878459;0.000000;0.562694;3.247331
19.978351;0.000000;0.461314;3.209866
20.078242;0.000000;0.353068;3.190687
20.178134;0.000000;0.238213;3.190488
20.278026;0.000000;0.121762;3.190289
20.377917;0.000000;0.009964;3.201397
20.477809;0.000000;-0.097560;3.225707
20.577701;0.000000;-0.202294;3.254602
20.677593;0.000000;-0.304567;3.285153
20.777484;0.000000;-0.401328;3.318502
20.877376;0.000000;-0.491406;3.369141
20.977268;0.000000;-0.575575;3.429412
21.077160;0.000000;-0.652283;3.501811
