# 9877f881-d119-4fb4-9950-8bc043b1dd4b
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 6.9483368; 5.1794135; -0.5124733; -0.6294832; 3.9290828; -1.9957360
0.0998918; 7.0001204; 5.2649012; -0.5773763; -0.6658474; 3.8780119; -1.4807197
0.1997835; 7.0574912; 5.3467311; -0.6463393; -0.7141278; 3.8396814; -0.8839759
0.2996753; 7.1205303; 5.4242298; -0.7202233; -0.7637449; 3.8166149; -0.4423185
0.3995670; 7.1892675; 5.4966772; -0.7986403; -0.7989077; 3.8050205; -0.3139780
0.4994588; 7.2635288; 5.5634072; -0.8790921; -0.8112843; 3.7967689; -0.1470396
0.5993505; 7.3429228; 5.6238904; -0.9606903; -0.8245438; 3.7928983; -0.0089902
0.6992423; 7.4269959; 5.6776328; -1.0435173; -0.8342440; 3.7926615; -0.0089902
0.7991340; 7.5153787; 5.7243333; -1.1253529; -0.8022363; 3.7924247; 0.4528585
0.8990258; 7.6071686; 5.7637837; -1.2039204; -0.7743182; 3.8043343; 0.7842781
0.9989175; 7.7016557; 5.7959864; -1.2805293; -0.7617964; 3.8248719; 0.1807956
1.0988093; 7.7983058; 5.8209088; -1.3562269; -0.7553896; 3.8295907; -0.9033653
1.1987010; 7.8967069; 5.8384946; -1.4316405; -0.7541269; 3.8059542; -1.0661448
1.2985928; 7.9960043; 5.8486062; -1.5070595; -0.7577956; 3.7778683; -1.1896728
1.3984845; 8.0957832; 5.8511768; -1.5832017; -0.7691116; 3.7462798; -1.0514126
1.4983763; 8.1954642; 5.8460761; -1.6610107; -0.7925916; 3.7181390; -0.8236182
1.5982680; 8.2944908; 5.8331078; -1.7415080; -0.8188074; 3.6959453; -0.0085364
1.6981598; 8.3917760; 5.8120943; -1.8264938; -0.8785862; 3.6957146; -0.0085364
1.7980515; 8.4870382; 5.7826549; -1.9143877; -0.8719082; 3.6954839; 0.0841623
1.8979433; 8.5796666; 5.7449287; -2.0004028; -0.8502538; 3.6977582; 0.3655805
1.9978350; 8.6688149; 5.6994315; -2.0847685; -0.8373799; 3.7076208; 0.4804062
2.0977268; 8.7537391; 5.6467104; -2.1677556; -0.8239075; 3.7205416; 0.5864665
2.1976186; 8.8339833; 5.5873459; -2.2466835; -0.7604603; 3.7362543; 1.3755568
