x,y,yaw,velocity
-4.3366456,5.9925515,-2.3805655,4.849298
-4.2691081,5.9189776,-2.4175193,4.7782169
-4.2043608,5.8428982,-2.4556227,4.706112
-4.1425887,5.7643634,-2.4947374,4.6323133
-4.0839694,5.6834363,-2.5348394,4.5561394
-4.0286814,5.6001999,-2.575872,4.4769329
-3.9768978,5.5147507,-2.6178052,4.3939166
-3.9287883,5.4271985,-2.6606327,4.3063294
-3.88452,5.3376619,-2.7043878,4.2133829
-3.8442608,5.2462653,-2.7491593,4.1143051
-3.8081852,5.1531352,-2.795114,4.0083619
-3.776484,5.0583986,-2.8425266,3.8949072
-3.7493797,4.9621875,-2.8918227,3.7734537
-3.7271489,4.8646575,-2.9436371,3.6437858
-3.710152,4.766036,-2.998889,3.5061366
-3.6988625,4.6667257,-3.0588517,3.3640798
-3.6938715,4.5674934,-3.1251078,3.2230692
-3.695945,4.4670796,3.0821784,3.0854156
-3.7059763,4.3680476,2.9977649,2.9428748
-3.7246969,4.2704084,2.9037888,2.8369446
-3.7541777,4.1758335,2.7677073,2.8367675
-3.7972539,4.0854191,2.6312317,2.8365904
-3.8504815,4.0015455,2.5252499,2.9161874
-3.9119847,3.9224253,2.4390993,3.0485083
-3.9795641,3.848412,2.3657966,3.198685
-4.0519269,3.7793619,2.3008809,3.3506019
-4.1282979,3.7150252,2.2416304,3.4979644
-4.2081682,3.6552036,2.1861859,3.6375431
-4.2911595,3.5997835,2.1333309,3.7677808
-4.3769527,3.5487201,2.0822932,3.8882504
-4.4652553,3.5020122,2.0325936,3.9991574
-4.5557873,3.4596792,1.9839537,4.1010806
-4.6482773,3.4217438,1.9362378,4.1948323
-4.7424614,3.3882191,1.889413,4.2813823
-4.838029,3.3591164,1.843541,4.3618068
-4.9347719,3.3343917,1.7986726,4.4374881
-5.0325586,3.3139703,1.7548793,4.5099734
-5.1311538,3.2977867,1.7123154,4.5802736
-5.2303294,3.2857444,1.6711731,4.6495495
-5.3298849,3.2777198,1.6315322,4.7186665
-5.4297099,3.2735642,1.5935739,4.7883753
-5.529654,3.2731143,1.557291,4.8603526
-5.6295165,3.2762121,1.522487,4.9337329
-5.7291686,3.28272,1.4888674,5.0070986
-5.828531,3.292517,1.4563433,5.0800339
-5.9275181,3.3054859,1.4248751,5.1525802
-6.0261609,3.3215312,1.3943841,5.2248484
-6.124256,3.3405237,1.3648737,5.2967955
-6.2217401,3.3623516,1.3363143,5.3685344
-6.3185569,3.3869054,1.3086827,5.4401734
-6.4146581,3.4140772,1.2819638,5.5118429
-6.5100021,3.4437603,1.2561494,5.5836912
-6.6045544,3.475849,1.2312377,5.6558868
-6.6983512,3.5102624,1.2072176,5.7286184
-6.7913144,3.5468774,1.1841145,5.8020848
-6.8834152,3.5855831,1.1619473,5.8765188
-6.9746468,3.6262738,1.1407354,5.9521734
-7.0650088,3.6688435,1.1204852,6.0293178
-7.1545046,3.7131917,1.1010877,6.1078529
-7.2431314,3.7592412,1.0821804,6.1864745
-7.3308774,3.8069411,1.0636128,6.2634982
-7.4177294,3.8562467,1.0453802,6.3387358
-7.5036769,3.9071121,1.0275105,6.4125399
-7.588723,3.9594955,1.0100342,6.4852728
-7.6728657,4.013348,0.9929882,6.5573118
-7.7560868,4.0686045,0.976418,6.6290526
-7.8383918,4.1252086,0.9603699,6.7009061
-7.9197909,4.183101,0.9448947,6.7733034
-8.0003002,4.2422193,0.9300472,6.8466953
-8.0799411,4.3024979,0.9158863,6.921557
-8.1587415,4.3638679,0.9024738,6.9971996
-8.2367565,4.426255,0.8907468,7.0720238
-8.3142545,4.4893191,0.8862108,7.1460554
-8.3917756,4.552343,0.8916181,7.2193188
-8.4698112,4.6146923,0.9022835,7.2918371
-8.5485626,4.6761237,0.9145026,7.3033526
-8.6280826,4.7365583,0.9274837,7.234149
-8.7084035,4.7959265,0.941203,7.1677158
-8.7895537,4.8541591,0.9556397,7.1038847
