# 0193c916-c69a-4a01-a013-e26ecf744d96
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -4.3366456; 5.9925515; -2.3805655; -0.3645721; 4.8492980; -3.4254456
0.0998898; -4.2691081; 5.9189776; -2.4175193; -0.3761854; 4.7782169; -3.4231048
0.1997796; -4.2043608; 5.8428982; -2.4556227; -0.3864790; 4.7061120; -3.4496206
0.2996694; -4.1425887; 5.7643634; -2.4947374; -0.3962588; 4.6323133; -3.5034585
0.3995592; -4.0839694; 5.6834363; -2.5348394; -0.4057247; 4.5561394; -3.5813372
0.4994490; -4.0286814; 5.6001999; -2.5758720; -0.4148385; 4.4769329; -3.6861869
0.5993389; -3.9768978; 5.5147507; -2.6178052; -0.4238850; 4.3939166; -3.8143564
0.6992287; -3.9287883; 5.4271985; -2.6606327; -0.4331200; 4.3063294; -3.9637528
0.7991185; -3.8845200; 5.3376619; -2.7043878; -0.4429677; 4.2133829; -4.1299984
0.8990083; -3.8442608; 5.2462653; -2.7491593; -0.4540038; 4.1143051; -4.3074518
0.9988981; -3.8081852; 5.1531352; -2.7951140; -0.4670533; 4.0083619; -4.4882600
1.0987879; -3.7764840; 5.0583986; -2.8425266; -0.4832983; 3.8949072; -4.6618856
1.1986777; -3.7493797; 4.9621875; -2.8918227; -0.5044619; 3.7734537; -4.8141915
1.2985675; -3.7271489; 4.8646575; -2.9436371; -0.5330864; 3.6437858; -4.9263357
1.3984573; -3.7101520; 4.7660360; -2.9988890; -0.5729269; 3.5061366; -4.8851869
1.4983471; -3.6988625; 4.6667257; -3.0588517; -0.6293068; 3.3640798; -4.6494139
1.5982369; -3.6938715; 4.5674934; -3.1251078; -0.7082167; 3.2230692; -4.3467156
1.6981267; -3.6959450; 4.4670796; 3.0821784; -0.8045592; 3.0854156; -4.3011284
1.7980166; -3.7059763; 4.3680476; 2.9977649; -0.8895877; 2.9428748; -3.0646637
1.8979064; -3.7246969; 4.2704084; 2.9037888; -1.1108454; 2.8369446; -0.0050295
1.9977962; -3.7541777; 4.1758335; 2.7677073; -1.4911927; 2.8367675; -0.0050295
2.0976860; -3.7972539; 4.0854191; 2.6312317; -1.2058949; 2.8365904; 2.2920456
2.1975758; -3.8504815; 4.0015455; 2.5252499; -0.9458986; 2.9161874; 3.9506220
2.2974656; -3.9119847; 3.9224253; 2.4390993; -0.7852991; 3.0485083; 4.6960912
2.3973554; -3.9795641; 3.8484120; 2.3657966; -0.6854638; 3.1986850; 4.9802237
2.4972452; -4.0519269; 3.7793619; 2.3008809; -0.6182950; 3.3506019; 5.0516743
2.5971350; -4.1282979; 3.7150252; 2.2416304; -0.5726686; 3.4979644; 4.9853199
2.6970248; -4.2081682; 3.6552036; 2.1861859; -0.5414377; 3.6375431; 4.8275787
2.7969146; -4.2911595; 3.5997835; 2.1333309; -0.5194672; 3.7677808; 4.6166825
2.8968044; -4.3769527; 3.5487201; 2.0822932; -0.5034816; 3.8882504; 4.3786694
2.9966943; -4.4652553; 3.5020122; 2.0325936; -0.4912970; 3.9991574; 4.1325634
3.0965841; -4.5557873; 3.4596792; 1.9839537; -0.4813892; 4.1010806; 3.8930703
3.1964739; -4.6482773; 3.4217438; 1.9362378; -0.4726403; 4.1948323; 3.6721314
3.2963637; -4.7424614; 3.3882191; 1.8894130; -0.4642108; 4.2813823; 3.4794507
3.3962535; -4.8380290; 3.3591164; 1.8435410; -0.4549047; 4.3618068; 3.3333837
3.4961433; -4.9347719; 3.3343917; 1.7986726; -0.4439176; 4.4374881; 3.2463780
3.5960331; -5.0325586; 3.3139703; 1.7548793; -0.4320843; 4.5099734; 3.1987526
3.6959229; -5.1311538; 3.2977867; 1.7123154; -0.4188178; 4.5802736; 3.2005500
3.7958127; -5.2303294; 3.2857444; 1.6711731; -0.4045369; 4.6495495; 3.2410838
3.8957025; -5.3298849; 3.2777198; 1.6315322; -0.3893324; 4.7186665; 3.3172819
3.9955923; -5.4297099; 3.2735642; 1.5935739; -0.3711268; 4.7883753; 3.4762734
4.0954821; -5.5296540; 3.2731143; 1.5572910; -0.3550691; 4.8603526; 3.5974297
4.1953720; -5.6295165; 3.2762121; 1.5224870; -0.3423826; 4.9337329; 3.6506060
4.2952618; -5.7291686; 3.2827200; 1.4888674; -0.3311286; 5.0070986; 3.6825937
4.3951516; -5.8285310; 3.2925170; 1.4563433; -0.3203845; 5.0800339; 3.7157896
4.4950414; -5.9275181; 3.3054859; 1.4248751; -0.3099723; 5.1525802; 3.7539274
4.5949312; -6.0261609; 3.3215312; 1.3943841; -0.3001482; 5.2248484; 3.7891802
4.6948210; -6.1242560; 3.3405237; 1.3648737; -0.2905844; 5.2967955; 3.8298168
4.7947108; -6.2217401; 3.3623516; 1.3363143; -0.2812547; 5.3685344; 3.8758996
4.8946006; -6.3185569; 3.3869054; 1.3086827; -0.2720871; 5.4401734; 3.9289534
4.9944904; -6.4146581; 3.4140772; 1.2819638; -0.2630195; 5.5118429; 3.9903725
5.0943802; -6.5100021; 3.4437603; 1.2561494; -0.2539899; 5.5836912; 4.0617165
5.1942700; -6.6045544; 3.4758490; 1.2312377; -0.2449392; 5.6558868; 4.1446324
5.2941598; -6.6983512; 3.5102624; 1.2072176; -0.2358290; 5.7286184; 4.2402714
5.3940497; -6.7913144; 3.5468774; 1.1841145; -0.2265831; 5.8020848; 4.3512229
5.4939395; -6.8834152; 3.5855831; 1.1619473; -0.2171519; 5.8765188; 4.4794056
5.5938293; -6.9746468; 3.6262738; 1.1407354; -0.2074956; 5.9521734; 4.6266257
5.6937191; -7.0650088; 3.6688435; 1.1204852; -0.1982262; 6.0293178; 4.7712272
5.7936089; -7.1545046; 3.7131917; 1.1010877; -0.1913466; 6.1078529; 4.8383311
5.8934987; -7.2431314; 3.7592412; 1.0821804; -0.1874997; 6.1864745; 4.8000020
5.9933885; -7.3308774; 3.8069411; 1.0636128; -0.1842769; 6.2634982; 4.7460380
6.0932783; -7.4177294; 3.8562467; 1.0453802; -0.1807937; 6.3387358; 4.7106729
6.1931681; -7.5036769; 3.9071121; 1.0275105; -0.1770070; 6.4125399; 4.6956519
6.2930579; -7.5887230; 3.9594955; 1.0100342; -0.1728691; 6.4852728; 4.7030541
6.3929477; -7.6728657; 4.0133480; 0.9929882; -0.1683299; 6.5573118; 4.7352196
6.4928375; -7.7560868; 4.0686045; 0.9764180; -0.1633482; 6.6290526; 4.7943082
6.5927274; -7.8383918; 4.1252086; 0.9603699; -0.1578784; 6.7009061; 4.8828574
6.6926172; -7.9197909; 4.1831010; 0.9448947; -0.1518784; 6.7733034; 5.0035049
6.7925070; -8.0003002; 4.2422193; 0.9300472; -0.1453038; 6.8466953; 5.1592604
6.8923968; -8.0799411; 4.3024979; 0.9158863; -0.1381313; 6.9215570; 5.2700575
6.9922866; -8.1587415; 4.3638679; 0.9024738; -0.1302901; 6.9971996; 5.2693995
7.0921764; -8.2367565; 4.4262550; 0.8907468; -0.0871860; 7.0720238; 5.2687415
7.1920662; -8.3142545; 4.4893191; 0.8862108; 0.0042178; 7.1460554; 5.2680837
7.2919560; -8.3917756; 4.5523430; 0.8916181; 0.0878473; 7.2193188; 5.2674259
7.3918458; -8.4698112; 4.6146923; 0.9022835; 0.1184215; 7.2918371; 0.8412876
7.4917356; -8.5485626; 4.6761237; 0.9145026; 0.1262028; 7.3033526; -5.0357896
7.5916254; -8.6280826; 4.7365583; 0.9274837; 0.1337002; 7.2341490; -4.7890847
7.6915152; -8.7084035; 4.7959265; 0.9412030; 0.1409803; 7.1677158; -4.5598883
7.7914051; -8.7895537; 4.8541591; 0.9556397; 0.1480556; 7.1038847; -4.3476294
7.8912949; -8.8715579; 4.9111866; 0.9707734; 0.1549172; 7.0424860; -4.1519348
7.9911847; -8.9544371; 4.9669401; 0.9865827; 0.1615544; 6.9833472; -3.9728544
8.0910745; -9.0382082; 5.0213509; 1.0030448; 0.1679498; 6.9262863; -3.8086942
8.1909643; -9.1228746; 5.0743450; 1.0201343; 0.1741235; 6.8711384; -3.6624862
8.2908541; -9.2084462; 5.1258564; 1.0378245; 0.1800002; 6.8176868; -3.5273058
8.3907439; -9.2949262; 5.1758188; 1.0560919; 0.1857146; 6.7658088; -3.4216884
8.4906337; -9.3823144; 5.2241672; 1.0749021; 0.1908627; 6.7151013; -3.3074815
8.5905235; -9.4706040; 5.2708383; 1.0942304; 0.1962622; 6.6657196; -3.2169471
8.6904133; -9.5597876; 5.3157689; 1.1140807; 0.2012011; 6.6173361; -3.2078567
8.7903031; -9.6498805; 5.3589163; 1.1341787; 0.1991332; 6.5687345; -3.4229635
8.8901929; -9.7408401; 5.4002734; 1.1538849; 0.1956285; 6.5164741; -3.7155842
8.9900828; -9.8325762; 5.4398356; 1.1734065; 0.1969077; 6.4592675; -3.8102774
9.0899726; -9.9250665; 5.4775822; 1.1932823; 0.2003217; 6.4000720; -3.8184788
9.1898624; -10.0183007; 5.5134733; 1.2134117; 0.2030581; 6.3401945; -3.8518653
9.2897522; -10.1122401; 5.5474633; 1.2339051; 0.2072807; 6.2792151; -3.8222055
9.3896420; -10.2068597; 5.5794992; 1.2548449; 0.2121291; 6.2181142; -3.7510508
9.4895318; -10.3021297; 5.6095196; 1.2763296; 0.2181861; 6.1575612; -3.6393484
9.5894216; -10.3980342; 5.6374561; 1.2984798; 0.2254432; 6.0982369; -3.4803500
9.6893114; -10.4945524; 5.6632268; 1.3214245; 0.2340836; 6.0409593; -3.2712960
9.7892012; -10.5916496; 5.6867327; 1.3453030; 0.2441738; 5.9866227; -3.0175138
9.8890910; -10.6892903; 5.7078620; 1.3702540; 0.2555427; 5.9360605; -2.7436683
9.9889808; -10.7874348; 5.7264909; 1.3963779; 0.2674651; 5.8897101; -2.4408630
10.0888706; -10.8860361; 5.7424895; 1.4237186; 0.2801233; 5.8481664; -2.0956574
10.1887605; -10.9850398; 5.7557217; 1.4523704; 0.2938057; 5.8122612; -1.7089824
10.2886503; -11.0843821; 5.7660420; 1.4824336; 0.3083619; 5.7828160; -1.2903660
10.3885401; -11.1839890; 5.7732978; 1.5139761; 0.3233679; 5.7604836; -0.8779761
10.4884299; -11.2837738; 5.7773338; 1.5470052; 0.3375767; 5.7452389; -0.5997502
10.5883197; -11.3836364; 5.7780063; 1.5812940; 0.3472641; 5.7348018; -0.5989209
10.6882095; -11.4834662; 5.7752232; 1.6160596; 0.3481897; 5.7243602; -0.5992380
10.7880993; -11.5831480; 5.7689744; 1.6506870; 0.3446786; 5.7138940; -0.7467451
10.8879891; -11.6825723; 5.7592994; 1.6848005; 0.3377561; 5.7008245; -1.0144131
10.9878789; -11.7816152; 5.7462787; 1.7180502; 0.3274256; 5.6830222; -1.4163541
11.0877687; -11.8801222; 5.7300345; 1.7502432; 0.3173218; 5.6580723; -1.7634329
11.1876585; -11.9779916; 5.7107334; 1.7800334; 0.2750632; 5.6268539; -3.2281626
11.2875483; -12.0752555; 5.6887578; 1.8053255; 0.2347957; 5.5692516; -4.7020633
11.3874382; -12.1721243; 5.6644574; 1.8276000; 0.2185579; 5.4842672; -5.4258603
11.4873280; -12.2685519; 5.6380115; 1.8492364; 0.2120592; 5.3845344; -5.8492205
11.5872178; -12.3644235; 5.6095184; 1.8699937; 0.2041330; 5.2749081; -6.3238163
11.6871076; -12.4596905; 5.5790698; 1.8902638; 0.2016917; 5.1537643; -6.6474049
11.7869974; -12.5541927; 5.5467521; 1.9103383; 0.2009044; 5.0232728; -6.9370009
11.8868872; -12.6480853; 5.5125205; 1.9305036; 0.2031920; 4.8833798; -7.1621643
11.9867770; -12.7413162; 5.4763653; 1.9510717; 0.2085697; 4.7346113; -7.3334310
12.0866668; -12.8337467; 5.4382810; 1.9723412; 0.2174196; 4.5772780; -7.4547092
12.1865566; -12.9252299; 5.3982365; 1.9946695; 0.2304640; 4.4115955; -7.5259671
12.2864464; -13.0156350; 5.3561565; 2.0184977; 0.2487036; 4.2377636; -7.5113117
12.3863362; -13.1053188; 5.3116646; 2.0445466; 0.2733604; 4.0568502; -7.4101279
12.4862261; -13.1937350; 5.2647369; 2.0735033; 0.3070733; 3.8700957; -7.2231125
12.5861159; -13.2806233; 5.2151274; 2.1064353; 0.3535637; 3.6789415; -6.9171160
12.6860057; -13.3656428; 5.1624939; 2.1448868; 0.4188760; 3.4860739; -6.4288601
12.7858955; -13.4482811; 5.1063867; 2.1911666; 0.5132269; 3.2967190; -5.6308964
12.8857853; -13.5276738; 5.0462771; 2.2487991; 0.6543077; 3.1214448; -4.2886455
12.9856751; -13.6032734; 4.9807810; 2.3241932; 0.8683725; 2.9810458; -2.0357078
13.0855649; -13.6728668; 4.9089023; 2.4256795; 1.1756676; 2.9120338; -0.0052993
13.1854547; -13.7333655; 4.8297166; 2.5563926; 1.4152809; 2.9118521; -0.0052993
13.2853445; -13.7830425; 4.7440968; 2.6549499; 0.3915741; 2.9116703; 5.2947014
13.3852343; -13.8280317; 4.6550877; 2.6944725; 0.4461485; 3.0879762; 5.2940403
13.4851241; -13.8689177; 4.5642188; 2.7463939; 0.6599036; 3.2547256; 5.0028629
13.5850139; -13.9041230; 4.4701294; 2.8221201; 0.7744502; 3.4048067; 3.0147790
13.6849038; -13.9318443; 4.3745312; 2.8954681; 0.7043541; 3.4921340; 3.4027798
13.7847936; -13.9528484; 4.2768082; 2.9635485; 0.6598215; 3.5881480; 3.4968792
13.8846834; -13.9673595; 4.1778022; 3.0280745; 0.6317399; 3.6842111; 3.4166518
13.9845732; -13.9755763; 4.0782070; 3.0901663; 0.6130447; 3.7757103; 3.2515321
14.0844630; -13.9776786; 3.9783051; -3.1324150; 0.6011496; 3.8607743; 3.0302023
14.1843528; -13.9737675; 3.8784192; -3.0725682; 0.5962233; 3.9383945; -1.6387281
14.2842426; -13.9639097; 3.7790032; -3.0129428; 0.5974837; 3.8966096; -2.9044578
14.3841324; -13.9481629; 3.6805153; -2.9530662; 0.6044579; 3.8214284; -3.1493603
14.4840222; -13.9264071; 3.5827384; -2.8920514; 0.6145987; 3.7381997; -3.4059219
14.5839120; -13.8987557; 3.4867627; -2.8297032; 0.6383168; 3.6460531; -3.5086523
14.6838018; -13.8651286; 3.3928865; -2.7653887; 0.6661640; 3.5486259; -0.5980470
14.7836916; -13.8251532; 3.3016026; -2.6881463; 0.9147361; 3.5317515; -0.0077948
14.8835815; -13.7773008; 3.2142205; -2.5924462; 0.9621775; 3.5315310; -0.0077948
14.9834713; -13.7213982; 3.1318284; -2.4997836; 0.8829851; 3.5313105; 0.9812465
15.0833611; -13.6581062; 3.0542014; -2.4174677; 0.7593626; 3.5589587; 2.3738547
15.1832509; -13.5892311; 2.9817531; -2.3473327; 0.6480223; 3.6249738; 3.4764919
15.2831407; -13.5160114; 2.9141062; -2.2874580; 0.5573645; 3.7195385; 4.2802343
15.3830305; -13.4390064; 2.8505391; -2.2354751; 0.4867896; 3.8327628; 4.8398453
15.4829203; -13.3589277; 2.7907518; -2.1896624; 0.4323142; 3.9568893; 5.2214822
15.5828101; -13.2762988; 2.7344639; -2.1486303; 0.3903460; 4.0865779; 5.2895624
15.6826999; -13.1915151; 2.6814386; -2.1112954; 0.3580057; 4.2138896; 5.2889020
15.7825897; -13.1048877; 2.6314870; -2.0768200; 0.3331338; 4.3374509; 5.2882416
15.8824795; -13.0167950; 2.5845276; -2.0445941; 0.3138414; 4.4575737; 5.2875813
15.9823693; -12.9272368; 2.5403358; -2.0140214; 0.2992321; 4.5745288; 5.2869211
16.0822592; -12.8363434; 2.4988193; -1.9846768; 0.2885393; 4.6885534; 5.2862609
16.1821490; -12.7442625; 2.4599326; -1.9562210; 0.2810618; 4.7998563; 5.2856009
16.2820388; -12.6511269; 2.4236521; -1.9283691; 0.2765181; 4.9086226; 5.2849409
16.3819286; -12.5570492; 2.3899709; -1.9008507; 0.2743242; 5.0150174; 5.0849173
16.4818184; -12.4621285; 2.3588969; -1.8734858; 0.2744046; 5.1152969; 4.8035040
16.5817082; -12.3664368; 2.3304520; -1.8459153; 0.2780178; 5.2082535; 4.4415617
16.6815980; -12.2699554; 2.3046574; -1.8181511; 0.2788049; 5.2927533; 4.1722635
16.7814878; -12.1726974; 2.2815542; -1.7896690; 0.2915088; 5.3709190; 3.5728843
16.8813776; -12.0748889; 2.2613228; -1.7595074; 0.3119599; 5.4369624; 2.7598139
16.9812674; -11.9765342; 2.2441329; -1.7281306; 0.3137908; 5.4874325; 2.5323386
